emit_direction_offset_deg,emit_direction_x,emit_direction_y,emit_direction_z,CCD_x,CCD_y,CCD_z,Dist_from_origin
0.0,0.0,0.0,1.0,0.0,0.0,-1.9895196601282805e-13,0.0
0.0001,1.7453292519934436e-06,0.0,0.999999999998477,0.0011344640137974657,1.4210854715202004e-14,-1.1368683772161603e-13,0.0011344640137974657
0.0002,3.49065850398157e-06,0.0,0.9999999999939077,0.0022689280276018435,0.0,-1.9895196601282805e-13,0.0022689280276018435
0.0003,5.235987755959064e-06,0.0,0.9999999999862923,0.0034033920414200435,0.0,-1.1368683772161603e-13,0.0034033920414200435
0.0004,6.981317007920607e-06,0.0,0.9999999999756306,0.004537856055258977,1.4210854715202004e-14,-1.1368683772161603e-13,0.004537856055258977
0.0005,8.726646259860889e-06,0.0,0.9999999999619229,0.005672320069125563,0.0,-1.1368683772161603e-13,0.005672320069125563
0.0006,1.0471975511774578e-05,0.0,0.9999999999451689,0.0068067840830267,0.0,-1.9895196601282805e-13,0.0068067840830267
0.0007,1.2217304763656379e-05,0.0,0.9999999999253688,0.007941248096969309,0.0,-1.1368683772161603e-13,0.007941248096969309
0.0008,1.3962634015500954e-05,0.0,0.9999999999025224,0.0090757121109603,0.0,-1.2789769243681803e-13,0.0090757121109603
0.0009,1.5707963267303003e-05,0.0,0.99999999987663,0.010210176125006581,0.0,-1.2789769243681803e-13,0.010210176125006581
0.001,1.7453292519057202e-05,0.0,0.9999999998476913,0.01134464013911507,0.0,-1.1368683772161603e-13,0.01134464013911507
0.0011,1.9198621770758234e-05,0.0,0.9999999998157065,0.012479104153292672,0.0,-1.1368683772161603e-13,0.012479104153292672
0.0012,2.0943951022400776e-05,0.0,0.9999999997806754,0.013613568167546296,0.0,-1.9895196601282805e-13,0.013613568167546296
0.0013,2.268928027397953e-05,0.0,0.9999999997425983,0.014748032181882854,0.0,-1.9895196601282805e-13,0.014748032181882854
0.0014,2.4434609525489167e-05,0.0,0.9999999997014749,0.015882496196309277,0.0,-1.1368683772161603e-13,0.015882496196309277
0.0015,2.6179938776924373e-05,0.0,0.9999999996573055,0.01701696021083246,0.0,-1.9895196601282805e-13,0.01701696021083246
