baijing_fuyang(deg),baijing_fuyang(rad),CCD_x,CCD_y,CCD_z,Dist_from_origin
0.0,0.0,0.0,0.0,-1.9895196601282805e-13,0.0
0.0001,0.0017453292519943296,0.0,0.0,-0.0022689280278171964,0.0022689280276182444
0.0002,0.003490658503988659,0.0,1.4210854715202004e-14,-0.004537856055236489,0.004537856055037537
0.0003,0.005235987755982988,0.0,0.0,-0.006806784083210005,0.006806784083011053
0.0004,0.006981317007977318,0.0,0.0,-0.009075712110899303,0.009075712110700351
0.0005,0.008726646259971648,0.0,0.0,-0.011344640139157036,0.011344640138958084
0.0006,0.010471975511965976,0.0,0.0,-0.0136135681675853,0.013613568167386347
0.0007,0.012217304763960306,0.0,0.0,-0.01588249619631199,0.01588249619611304
0.0008,0.013962634015954637,0.0,0.0,-0.018151424225749224,0.018151424225550272
0.0009,0.015707963267948967,0.0,0.0,-0.020420352255314356,0.020420352255115404
0.001,0.017453292519943295,0.0,0.0,-0.022689280285121072,0.02268928028492212
0.0011,0.019198621771937627,0.0,0.0,-0.024958208315865704,0.024958208315666752
0.0012,0.020943951023931952,0.0,0.0,-0.027227136347065084,0.027227136346866132
0.0013,0.022689280275926284,0.0,0.0,-0.029496064379117115,0.029496064378918163
0.0014,0.024434609527920613,0.0,1.4210854715202004e-14,-0.03176499241160968,0.03176499241141073
0.0015,0.02617993877991494,0.0,1.4210854715202004e-14,-0.03403392044504017,0.034033920444841215
