baijing_fangwei(deg),baijing_fangwei(rad),CCD_x,CCD_y,CCD_z,Dist_from_origin
0.0,0.0,0.0,0.0,-1.9895196601282805e-13,0.0
0.0001,0.0017453292519943296,-0.001134464013795738,1.4210854715202004e-14,1.979927333195519e-09,0.0011344640137974662
0.0002,0.003490658503988659,-0.002268928027588021,0.0,7.919823019619798e-09,0.0022689280276018443
0.0003,0.005235987755982988,-0.00340339204137339,0.0,1.7820099174059578e-08,0.0034033920414200435
0.0004,0.006981317007977318,-0.0045378560551483935,1.4210854715202004e-14,3.1680116308052675e-08,0.004537856055258979
0.0005,0.008726646259971648,-0.005672320068909576,0.0,4.9500329168949975e-08,0.005672320069125564
0.0006,0.010471975511965976,-0.0068067840826534776,0.0,7.12802972202553e-08,0.006806784083026702
0.0007,0.012217304763960306,-0.007941248096376644,0.0,9.702064573957614e-08,0.007941248096969312
0.0008,0.013962634015954637,-0.009075712110075625,0.0,1.267207352384503e-07,0.009075712110960305
0.0009,0.015707963267948967,-0.010210176123746957,0.0,1.6038084993397206e-07,0.010210176125006586
0.001,0.017453292519943295,-0.011344640137387181,0.0,1.9800114614554332e-07,0.01134464013911507
0.0011,0.019198621771937624,-0.012479104150992855,0.0,2.395814817646169e-07,0.012479104153292675
0.0012,0.020943951023931952,-0.013613568164560504,0.0,2.851217431043551e-07,0.013613568167546294
0.0013,0.022689280275926278,-0.014748032178086685,1.4210854715202004e-14,3.346221006950145e-07,0.014748032181882855
0.0014,0.024434609527920613,-0.01588249619156796,0.0,3.8808248348232155e-07,0.015882496196309284
0.0015,0.02617993877991494,-0.017016960205000833,0.0,4.455029767314045e-07,0.01701696021083246
